NodeID,Name,Race,Gender
2275,Bernardo Bertolucci,White,Male
10468,Jennifer Flackett,,
10470,Alister Grierson,,
2279,Christian Carion,,
10474,Adrienne Shelly,White,Female
2287,Gary Chapman,,
10481,Philip G. Atwell,,
2290,Rowan Joffe,,
10486,Denzel Washington,Black,Male
10491,Steve Rash,,
2302,James DeMonaco,,
2306,David Yates,White,Male
10499,Prachya Pinkaew,,
10501,David S. Goyer,,
2311,Nicholas Meyer,White,Male
2315,Ridley Scott,White,Male
8578,Gurinder Chadha,Asian/Indian,Female
2320,Chris Atkins,White,Male
2325,Michael McGowan,,
10518,Giuseppe Tornatore,,
10523,Julie Davis,,
2338,Mennan Yapo,,
2342,Taylor Hackford,White,Male
2345,Scott Hicks,,
2349,Stephen Sommers,White,Male
10545,Nathan Smith Jones,,
2354,David Dobkin,,
2357,Eli Craig,,
2362,Chao-Bin Su,,
9951,Keith Parmer,,
10558,Heidi Ewing,,
2368,Alec Asten,,
10561,Emily Dell,,
2370,Joe Nussbaum,,
2374,Peter Jackson,White,Male
10570,Mabel Cheung,,
2379,Andr--s Couturier,,
2384,Pedro Almod--var,,
10577,Ari Sandel,,
10579,Andrew Morahan,,
2389,Anton Corbijn,White,Male
2393,Oleg Stepchenko,,
10590,Guy Maddin,White,Male
2407,Stephen Gaghan,,
2411,Robert Ben Garant,,
2414,Etan Cohen,,
2417,Roland Emmerich,White,Male
2421,Bille Woodruff,,
10615,Seth Gordon,,
2424,Paul Bolger,,
2428,Joon-ho Bong,,
2430,Rand Ravich,,
8597,Luke Greenfield,,
10625,Michael Dinner,,
2435,Denis Villeneuve,,
10631,Stephen Chbosky,White,Male
2443,Leon Ford,,
2450,Christopher Cain,,
2452,Bryan Singer,White,Male
10650,Eric Nicholas,,
2461,Evan Goldberg,White,Male
10656,Robert Heath,,
2466,Sofia Coppola,White,Female
10661,Chris Marker,White,Male
2471,Arjun Sablok,,
2474,Tom Hooper,White,Male
2476,Michael Caton-Jones,,
2481,Katsuhiro --tomo,,
10674,J.A. Bayona,,
2484,Costa-Gavras,White,Male
2490,Jeff Kanew,,
10684,Daniel Sackheim,,
