"Source","Target","Weight","Type"
"Isabella Rossellini","Death Becomes Her","1","Undirected"
"Isabella Rossellini","Infamous","1","Undirected"
"Isabella Rossellini","The Funeral","1","Undirected"
"Peter Gerety","Inside Man","1","Undirected"
"Peter Gerety","The Curse of the Jade Scorpion","1","Undirected"
"Peter Gerety","Wolf","1","Undirected"
"Lynn Redgrave","Spider","1","Undirected"
"Lynn Redgrave","The White Countess","1","Undirected"
"Lynn Redgrave","Everything You Always Wanted to Know About Sex * But Were Afraid to Ask","1","Undirected"
"Lynn Redgrave","Gods and Monsters","1","Undirected"
"Zoolander 2","Ben Stiller","1","Undirected"
"Zoolander 2","Milla Jovovich","1","Undirected"
"Zoolander 2","Will Ferrell","1","Undirected"
"Zoolander 2","Justin Theroux","1","Undirected"
"Milla Jovovich","The Three Musketeers","1","Undirected"
"Milla Jovovich","Zoolander","1","Undirected"
"Milla Jovovich","Stone","1","Undirected"
"Milla Jovovich","Ultraviolet","1","Undirected"
"Milla Jovovich","A Perfect Getaway","1","Undirected"
"Milla Jovovich","Dazed and Confused","1","Undirected"
"Milla Jovovich","Resident Evil: Extinction","1","Undirected"
"Milla Jovovich","Survivor","1","Undirected"
"Milla Jovovich","The Claim","1","Undirected"
"Milla Jovovich","Resident Evil","1","Undirected"
"Milla Jovovich","He Got Game","1","Undirected"
"Milla Jovovich","The Fourth Kind","1","Undirected"
"Milla Jovovich","Resident Evil: Apocalypse","1","Undirected"
"Milla Jovovich","Resident Evil: Afterlife","1","Undirected"
"Milla Jovovich","The Fifth Element","1","Undirected"
"Milla Jovovich","Return to the Blue Lagoon","1","Undirected"
"Milla Jovovich","Resident Evil: Retribution","1","Undirected"
"Will Ferrell","Drowning Mona","1","Undirected"
"Will Ferrell","The Campaign","1","Undirected"
"Will Ferrell","Zoolander","1","Undirected"
"Will Ferrell","Step Brothers","1","Undirected"
"Will Ferrell","Winter Passing","1","Undirected"
"Will Ferrell","The Other Guys","1","Undirected"
"Will Ferrell","Old School","1","Undirected"
"Will Ferrell","Elf","1","Undirected"
"Will Ferrell","Daddy's Home","1","Undirected"
"Will Ferrell","Semi-Pro","1","Undirected"
"Will Ferrell","The Ladies Man","1","Undirected"
"Will Ferrell","Austin Powers: International Man of Mystery","1","Undirected"
"Will Ferrell","Stranger Than Fiction","1","Undirected"
"Will Ferrell","Dick","1","Undirected"
"Will Ferrell","Jay and Silent Bob Strike Back","1","Undirected"
"Will Ferrell","Superstar","1","Undirected"
"Will Ferrell","Kicking & Screaming","1","Undirected"
"Will Ferrell","Anchorman 2: The Legend Continues","1","Undirected"
"Will Ferrell","Everything Must Go","1","Undirected"
"Will Ferrell","Casa de mi Padre","1","Undirected"
"Will Ferrell","Talladega Nights: The Ballad of Ricky Bobby","1","Undirected"
"Will Ferrell","The Producers","1","Undirected"
"Will Ferrell","Get Hard","1","Undirected"
"Will Ferrell","Blades of Glory","1","Undirected"
"Will Ferrell","Land of the Lost","1","Undirected"
"Will Ferrell","Megamind","1","Undirected"
"Will Ferrell","The Wendell Baker Story","1","Undirected"
"Will Ferrell","Anchorman: The Legend of Ron Burgundy","1","Undirected"
"Will Ferrell","Curious George","1","Undirected"
"Will Ferrell","A Night at the Roxbury","1","Undirected"
"Will Ferrell","The Lego Movie","1","Undirected"
"Justin Theroux","Wanderlust","1","Undirected"
"Justin Theroux","American Psycho","1","Undirected"
"Justin Theroux","Charlie's Angels: Full Throttle","1","Undirected"
"Justin Theroux","The Broken Hearts Club: A Romantic Comedy","1","Undirected"
"Justin Theroux","Duplex","1","Undirected"
"Ben Stiller","The Cable Guy","1","Undirected"
"Ben Stiller","Zoolander","1","Undirected"
"Ben Stiller","The Secret Life of Walter Mitty","1","Undirected"
"Ben Stiller","Tropic Thunder","1","Undirected"
"Get on Up","Tika Sumpter","1","Undirected"
"Get on Up","Josh Hopkins","1","Undirected"
"Get on Up","Aunjanue Ellis","1","Undirected"
"Get on Up","Tate Taylor","1","Undirected"
"Tika Sumpter","Ride Along","1","Undirected"
"Tika Sumpter","A Madea Christmas","1","Undirected"
"Josh Hopkins","The Opposite Sex","1","Undirected"
"Aunjanue Ellis","The Caveman's Valentine","1","Undirected"
"Aunjanue Ellis","Lovely & Amazing","1","Undirected"
"Aunjanue Ellis","The Birth of a Nation","1","Undirected"
"Tate Taylor","I Spy","1","Undirected"
"Tate Taylor","The Help","1","Undirected"
"Tate Taylor","Breakin' All the Rules","1","Undirected"
"Nowhere Boy","Ophelia Lovibond","1","Undirected"
"Nowhere Boy","Anne-Marie Duff","1","Undirected"
"Nowhere Boy","Sam Taylor-Johnson","1","Undirected"
"Nowhere Boy","Kristin Scott Thomas","1","Undirected"
"Kristin Scott Thomas","Easy Virtue","1","Undirected"
"Kristin Scott Thomas","Life as a House","1","Undirected"
"Kristin Scott Thomas","The Horse Whisperer","1","Undirected"
"Kristin Scott Thomas","The English Patient","1","Undirected"
"Kristin Scott Thomas","Gosford Park","1","Undirected"
"Kristin Scott Thomas","The Golden Compass","1","Undirected"
"Kristin Scott Thomas","Random Hearts","1","Undirected"
"Kristin Scott Thomas","Mission: Impossible","1","Undirected"
"Kristin Scott Thomas","Richard III","1","Undirected"
"Kristin Scott Thomas","Four Weddings and a Funeral","1","Undirected"
"Kristin Scott Thomas","Sarah's Key","1","Undirected"
"Kristin Scott Thomas","Only God Forgives","1","Undirected"
"Ophelia Lovibond","Mr. Popper's Penguins","1","Undirected"
"Anne-Marie Duff","The Last Station","1","Undirected"
"Anne-Marie Duff","Before I Go to Sleep","1","Undirected"
"Sam Taylor-Johnson","Fifty Shades of Grey","1","Undirected"
"Bandits","Bruce Willis","1","Undirected"
"Bandits","Br--an F. O'Byrne","1","Undirected"
"Bandits","Azura Skye","1","Undirected"
"Bandits","Barry Levinson","1","Undirected"
"Bruce Willis","Mercury Rising","1","Undirected"
"Bruce Willis","The Cold Light of Day","1","Undirected"
"Bruce Willis","The Jackal","1","Undirected"
"Bruce Willis","Tears of the Sun","1","Undirected"
"Bruce Willis","The Kid","1","Undirected"
"Bruce Willis","Die Hard","1","Undirected"
"Bruce Willis","RED 2","1","Undirected"
"Bruce Willis","Looper","1","Undirected"
"Bruce Willis","Cop Out","1","Undirected"
"Bruce Willis","RED","1","Undirected"
"Bruce Willis","The Prince","1","Undirected"
"Bruce Willis","Pulp Fiction","1","Undirected"
"Bruce Willis","The Story of Us","1","Undirected"
"Bruce Willis","The Sixth Sense","1","Undirected"
"Bruce Willis","Live Free or Die Hard","1","Undirected"
"Bruce Willis","Moonrise Kingdom","1","Undirected"
"Bruce Willis","Death Becomes Her","1","Undirected"
"Bruce Willis","The Expendables 2","1","Undirected"
"Bruce Willis","Hostage","1","Undirected"
"Bruce Willis","The Whole Nine Yards","1","Undirected"
"Bruce Willis","Die Hard with a Vengeance","1","Undirected"
"Bruce Willis","Lucky Number Slevin","1","Undirected"
"Bruce Willis","The Whole Ten Yards","1","Undirected"
"Bruce Willis","Over the Hedge","1","Undirected"
"Bruce Willis","A Good Day to Die Hard","1","Undirected"
"Bruce Willis","Breakfast of Champions","1","Undirected"
"Bruce Willis","Armageddon","1","Undirected"
"Bruce Willis","Beavis and Butt-Head Do America","1","Undirected"
"Bruce Willis","Hart's War","1","Undirected"
"Bruce Willis","Unbreakable","1","Undirected"
"Bruce Willis","Sin City: A Dame to Kill For","1","Undirected"
"Bruce Willis","Hudson Hawk","1","Undirected"
"Bruce Willis","The Siege","1","Undirected"
"Bruce Willis","Surrogates","1","Undirected"
"Bruce Willis","16 Blocks","1","Undirected"
"Bruce Willis","Die Hard 2","1","Undirected"
"Bruce Willis","The Fifth Element","1","Undirected"
"Br--an F. O'Byrne","An Everlasting Piece","1","Undirected"
"Br--an F. O'Byrne","The International","1","Undirected"
"Barry Levinson","Man of the Year","1","Undirected"
"Barry Levinson","Disclosure","1","Undirected"
"Barry Levinson","What Just Happened","1","Undirected"
"Barry Levinson","Sleepers","1","Undirected"
"Barry Levinson","Good Morning, Vietnam","1","Undirected"
"Barry Levinson","Wag the Dog","1","Undirected"
"Barry Levinson","Rain Man","1","Undirected"
"Barry Levinson","Diner","1","Undirected"
"Barry Levinson","Young Sherlock Holmes","1","Undirected"
"Barry Levinson","Envy","1","Undirected"
"Barry Levinson","Sphere","1","Undirected"
"Barry Levinson","An Everlasting Piece","1","Undirected"
"Flags of Our Fathers","Paul Walker","1","Undirected"
"Flags of Our Fathers","Chris Bauer","1","Undirected"
"Flags of Our Fathers","Tom McCarthy","1","Undirected"
"Flags of Our Fathers","Clint Eastwood","1","Undirected"
"Paul Walker","The Death and Life of Bobby Z","1","Undirected"
"Paul Walker","Joy Ride","1","Undirected"
"Paul Walker","Meet the Deedles","1","Undirected"
"Paul Walker","Timeline","1","Undirected"
"Paul Walker","She's All That","1","Undirected"
"Paul Walker","Running Scared","1","Undirected"
"Paul Walker","2 Fast 2 Furious","1","Undirected"
"Paul Walker","The Fast and the Furious","1","Undirected"
"Paul Walker","Varsity Blues","1","Undirected"
"Paul Walker","Eight Below","1","Undirected"
"Paul Walker","Takers","1","Undirected"
"Paul Walker","The Skulls","1","Undirected"
"Paul Walker","Fast Five","1","Undirected"
"Paul Walker","Furious 7","1","Undirected"
"Paul Walker","Brick Mansions","1","Undirected"
"Paul Walker","Into the Blue","1","Undirected"
"Chris Bauer","Flawless","1","Undirected"
"Chris Bauer","8MM","1","Undirected"
"Chris Bauer","Money Monster","1","Undirected"
"Chris Bauer","Tomorrowland","1","Undirected"
"Chris Bauer","Snow White: A Tale of Terror","1","Undirected"
"Tom McCarthy","2012","1","Undirected"
"Tom McCarthy","The Station Agent","1","Undirected"
"Tom McCarthy","The Lovely Bones","1","Undirected"
"Tom McCarthy","Spotlight","1","Undirected"
"Clint Eastwood","Hang 'Em High","1","Undirected"
"Clint Eastwood","Unforgiven","1","Undirected"
"Clint Eastwood","The Good, the Bad and the Ugly","1","Undirected"
"Clint Eastwood","Paint Your Wagon","1","Undirected"
"Clint Eastwood","High Plains Drifter","1","Undirected"
"Clint Eastwood","Hereafter","1","Undirected"
"Clint Eastwood","Changeling","1","Undirected"
"Clint Eastwood","J. Edgar","1","Undirected"
"Clint Eastwood","Midnight in the Garden of Good and Evil","1","Undirected"
"Clint Eastwood","Blood Work","1","Undirected"
"Clint Eastwood","Firefox","1","Undirected"
"Clint Eastwood","American Sniper","1","Undirected"
"Clint Eastwood","A Fistful of Dollars","1","Undirected"
"Clint Eastwood","Mystic River","1","Undirected"
"Clint Eastwood","Space Cowboys","1","Undirected"
"Clint Eastwood","Pale Rider","1","Undirected"
"Clint Eastwood","The Bridges of Madison County","1","Undirected"
"Clint Eastwood","Letters from Iwo Jima","1","Undirected"
"Clint Eastwood","Escape from Alcatraz","1","Undirected"
"Clint Eastwood","Gran Torino","1","Undirected"
"Clint Eastwood","Absolute Power","1","Undirected"
"Clint Eastwood","Trouble with the Curve","1","Undirected"
"Clint Eastwood","Million Dollar Baby","1","Undirected"
"Clint Eastwood","Jersey Boys","1","Undirected"
"Clint Eastwood","Invictus","1","Undirected"
"The Great Gatsby","Steve Bisley","1","Undirected"
"The Great Gatsby","Baz Luhrmann","1","Undirected"
"The Great Gatsby","Leonardo DiCaprio","1","Undirected"
"The Great Gatsby","Elizabeth Debicki","1","Undirected"
"Leonardo DiCaprio","The Departed","1","Undirected"
"Leonardo DiCaprio","The Man in the Iron Mask","1","Undirected"
"Leonardo DiCaprio","Blood Diamond","1","Undirected"
"Leonardo DiCaprio","Django Unchained","1","Undirected"
